"Produto_Comprado","Id_Cliente"
"tropical fruit","1"
"yogurt","1"
"coffee","1"
"whole milk","2"
"pip fruit","3"
"yogurt","3"
"cream cheese","3"
"meat spreads","3"
"other vegetables","4"
"whole milk","4"
"condensed milk","4"
"long life bakery product","4"
"whole milk","5"
"butter","5"
"yogurt","5"
"rice","5"
"abrasive cleaner","5"
"rolls/buns","6"
"other vegetables","7"
"UHT-milk","7"
"rolls/buns","7"
"bottled beer","7"
"liquor (appetizer)","7"
"potted plants","8"
"whole milk","9"
"cereals","9"
"tropical fruit","10"
"other vegetables","10"
"white bread","10"
"bottled water","10"
"chocolate","10"
"citrus fruit","11"
"tropical fruit","11"
"whole milk","11"
"butter","11"
"curd","11"
"yogurt","11"
"flour","11"
"bottled water","11"
"dishes","11"
"beef","12"
"frankfurter","13"
"rolls/buns","13"
"soda","13"
"chicken","14"
"tropical fruit","14"
"butter","15"
"sugar","15"
"fruit/vegetable juice","15"
"newspapers","15"
"fruit/vegetable juice","16"
"packaged fruit/vegetables","17"
"chocolate","18"
"specialty bar","19"
"other vegetables","20"
"butter milk","21"
"pastry","21"
"whole milk","22"
"tropical fruit","23"
"cream cheese","23"
"processed cheese","23"
"detergent","23"
"newspapers","23"
"tropical fruit","24"
"root vegetables","24"
"other vegetables","24"
"frozen dessert","24"
"rolls/buns","24"
"flour","24"
"sweet spreads","24"
"salty snack","24"
"waffles","24"
"candy","24"
"bathroom cleaner","24"
"bottled water","25"
"canned beer","25"
"yogurt","26"
"sausage","27"
"rolls/buns","27"
"soda","27"
"chocolate","27"
"other vegetables","28"
"brown bread","29"
"soda","29"
"fruit/vegetable juice","29"
"canned beer","29"
"newspapers","29"
"shopping bags","29"
"yogurt","30"
"beverages","30"
"bottled water","30"
"specialty bar","30"
"hamburger meat","31"
"other vegetables","31"
"rolls/buns","31"
"spices","31"
"bottled water","31"
"hygiene articles","31"
"napkins","31"
"root vegetables","32"
"other vegetables","32"
"whole milk","32"
"beverages","32"
"sugar","32"
"pork","33"
"berries","33"
"other vegetables","33"
"whole milk","33"
"whipped/sour cream","33"
"artif. sweetener","33"
"soda","33"
"abrasive cleaner","33"
"beef","34"
"grapes","34"
"detergent","34"
"pastry","35"
"soda","35"
"fruit/vegetable juice","36"
"canned beer","37"
"root vegetables","38"
"other vegetables","38"
"whole milk","38"
"dessert","38"
"citrus fruit","39"
"zwieback","39"
"newspapers","39"
"sausage","40"
"rolls/buns","40"
"soda","40"
"canned beer","40"
"specialty bar","40"
"shopping bags","40"
"tropical fruit","41"
"root vegetables","41"
"whole milk","41"
"yogurt","41"
"domestic eggs","41"
"brown bread","41"
"pastry","41"
"sugar","41"
"cereals","41"
"coffee","41"
"soda","41"
"waffles","41"
"candy","41"
"berries","42"
"yogurt","42"
"canned beer","43"
"butter milk","44"
"yogurt","44"
"cream cheese","44"
"spread cheese","44"
"rolls/buns","44"
"bottled water","44"
"soda","44"
"newspapers","44"
"coffee","45"
"pastry","46"
"bottled water","46"
"rolls/buns","47"
"misc. beverages","48"
"root vegetables","49"
"other vegetables","49"
"butter","49"
"curd","49"
"whipped/sour cream","49"
"UHT-milk","49"
"hard cheese","49"
"rolls/buns","49"
"bottled water","49"
"long life bakery product","49"
"sausage","50"
"rolls/buns","50"
"cat food","50"
"newspapers","50"
"canned beer","51"
"ham","52"
"grapes","52"
"other vegetables","52"
"whole milk","52"
"turkey","53"
"tropical fruit","53"
"other vegetables","53"
"curd","53"
"domestic eggs","53"
"brown bread","53"
"semi-finished bread","53"
"margarine","53"
"baking powder","53"
"fruit/vegetable juice","53"
"whole milk","54"
"yogurt","54"
"processed cheese","54"
"pickled vegetables","54"
"soda","54"
"whole milk","55"
"curd","55"
"yogurt","55"
"pastry","55"
"packaged fruit/vegetables","56"
"brown bread","56"
"canned beer","56"
"rolls/buns","57"
"oil","57"
"bottled water","57"
"chewing gum","57"
"chocolate marshmallow","57"
"hygiene articles","57"
"napkins","57"
"ham","58"
"beef","58"
"whipped/sour cream","58"
"ice cream","58"
"rolls/buns","58"
"cat food","58"
"rolls/buns","59"
"pastry","59"
"sugar","59"
"other vegetables","60"
"whole milk","60"
"frozen vegetables","60"
"canned fish","60"
"salty snack","60"
"seasonal products","60"
"detergent","60"
"sausage","61"
"pastry","61"
"sausage","62"
"beef","62"
"whole milk","62"
"frankfurter","63"
"tropical fruit","63"
"rolls/buns","63"
"brown bread","63"
"sugar","63"
"rolls/buns","64"
"pastry","64"
"soda","64"
"whole milk","65"
"curd cheese","66"
"coffee","66"
"red/blush wine","67"
"newspapers","67"
"sausage","68"
"whole milk","68"
"curd","68"
"tropical fruit","69"
"pip fruit","69"
"berries","69"
"whole milk","69"
"frozen potato products","69"
"rolls/buns","69"
"pickled vegetables","69"
"chocolate","69"
"red/blush wine","70"
"whole milk","71"
"butter","71"
"margarine","71"
"specialty fat","71"
"specialty chocolate","71"
"candles","71"
"flower (seeds)","71"
"frankfurter","72"
"citrus fruit","72"
"whole milk","72"
"domestic eggs","72"
"oil","72"
"sparkling wine","72"
"specialty chocolate","72"
"newspapers","72"
"whole milk","73"
"meat spreads","73"
"soda","73"
"frozen potato products","74"
"other vegetables","75"
"whole milk","75"
"rolls/buns","75"
"sugar","75"
"citrus fruit","76"
"whole milk","76"
"curd","76"
"butter milk","76"
"pastry","76"
"flour","77"
"salt","77"
"bottled water","77"
"fruit/vegetable juice","77"
"bottled beer","77"
"sugar","78"
"bottled water","78"
"soda","78"
"bottled beer","78"
"frozen meals","79"
"coffee","79"
"chocolate","80"
"root vegetables","81"
"whole milk","81"
"frozen vegetables","81"
"domestic eggs","81"
"rolls/buns","81"
"oil","81"
"margarine","81"
"canned vegetables","81"
"fruit/vegetable juice","81"
"bathroom cleaner","81"
"root vegetables","82"
"onions","82"
"hard cheese","82"
"frozen vegetables","82"
"herbs","83"
"condensed milk","83"
"frozen vegetables","83"
"salt","83"
"oil","83"
"white wine","83"
"candles","83"
"bottled water","84"
"sausage","85"
"root vegetables","85"
"onions","85"
"yogurt","85"
"rolls/buns","85"
"brandy","85"
"detergent","85"
"coffee","86"
"newspapers","86"
"pork","87"
"other vegetables","87"
"whipped/sour cream","87"
"berries","88"
"yogurt","88"
"soda","89"
"berries","90"
"fruit/vegetable juice","91"
"salty snack","91"
"candles","91"
"citrus fruit","92"
"butter milk","92"
"yogurt","92"
"cream cheese","92"
"pork","93"
"hamburger meat","93"
"citrus fruit","93"
"berries","93"
"onions","93"
"whipped/sour cream","93"
"rice","93"
"coffee","93"
"chocolate","93"
"detergent","94"
"grapes","95"
"photo/film","95"
"sausage","96"
"sliced cheese","96"
"rolls/buns","96"
"brown bread","96"
"fruit/vegetable juice","96"
"canned beer","96"
"red/blush wine","96"
"waffles","96"
"shopping bags","96"
"chicken","97"
"hamburger meat","97"
"citrus fruit","97"
"tropical fruit","97"
"root vegetables","97"
"other vegetables","97"
"butter","97"
"pasta","97"
"oil","97"
"detergent","97"
"whole milk","98"
"yogurt","98"
"brown bread","98"
"citrus fruit","99"
"tropical fruit","99"
"soda","100"
